rndrng_prvdr_type,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
Clinical Laboratory,110558,159021893,380483345.8,24039345041.1196,7492736102.162964,7365997003.2130375,7363129803.604742,19.359577980280253,3.2635561799215598,1.0172059666728948
Ophthalmology,225826,28529511,89621410.2,23124975394.788982,9467218582.810944,7246048849.031073,7202584570.299657,80.85176112338246,3.19139104311741,1.306535296691642
Internal Medicine,808835,60814096,136564739.5,21319920439.93938,8828638785.789766,6856444783.230335,6845679631.989355,50.20655264553363,3.1094716159727818,1.2876409079211244
Nurse Practitioner,892849,46739912,127123119.9,18599476722.11798,7433309785.94512,5693319919.711411,5758997746.4999275,44.785873129844504,3.2668947089593323,1.3056195490103262
Ambulance Service Provider,31054,12170285,115957213.6,19888193139.539288,5521750992.83041,4368020104.608463,4010165135.190715,37.669239963596915,4.553136813302742,1.2641313136367451
Family Practice,770162,48395779,93311264.8,12825220042.180277,5721360099.951477,4361955099.531173,4491253538.520928,46.746286301878236,2.940245772717547,1.3116503882780486
Ambulatory Surgical Center,59572,4612580,19482343.1,26549197646.922157,5371189308.441328,4298258797.720672,4368967941.45013,220.62329852514873,6.176733160181271,1.2496198021602658
Diagnostic Radiology,1128876,77223917,198384005.7,22728581449.820187,4519112956.900152,3588175049.490262,3455797166.4497647,18.087017836086886,6.334301179940767,1.2594460678673243
Cardiology,381081,36759993,57772874.7,13624668905.54001,4598427867.230756,3485495792.480215,3396243114.6798406,60.33100846339251,3.9089615127163717,1.319303806692763
Physical Therapist in Private Practice,389025,19054795,161789624.0,11143576410.690107,4291928028.4801807,3310404026.810342,3258277617.0899515,20.46116397928177,3.3662285087984336,1.2964967398905571
Hematology-Oncology,148930,9664761,214556729.8,10644193468.978176,3544482832.979774,2799274154.610247,2800674351.6600075,13.04677861756936,3.8024833871479817,1.266214967598729
Dermatology,208628,22166971,47840092.6,8503016175.379013,3662892812.4795747,2728498287.8202944,2683595822.920366,57.0337166910144,3.1163721866110414,1.3424574348572293
Physician Assistant,546322,29333072,62733739.5,11275256985.469925,3138368509.069556,2340701428.940208,2350732185.760029,37.31168343535791,4.817041954203868,1.3407812163768813
Orthopedic Surgery,264886,16348124,42670909.8,10890320093.670437,2780358583.399789,2116115610.5502517,2115172618.2498384,49.59152782231636,5.146372929425456,1.3138972982089645
Emergency Medicine,214477,17753174,21772107.1,14881478252.080349,2397567809.0899525,1886988095.78002,1862274308.6300194,86.66998040717978,7.886365730319473,1.2705791914913354
Rheumatology,63553,4735062,146104198.1,5700561252.679732,2307632894.140433,1810040290.280183,1817881768.4600978,12.388694601652128,3.1494112497337396,1.2749069214272715
Podiatry,173424,12918158,27983972.9,3713769236.208451,2069122560.0822701,1549738041.9803903,1523428910.2303267,55.37948623372167,2.396385153882312,1.33514342684533
Mass Immunizer Roster Biller,201911,20781108,37601852.1,1666171753.2699072,1495744119.539817,1495738694.8898172,1461164239.3098295,39.77832503867056,1.1139457439741136,1.0000036267364203
Radiation Oncology,78824,3388377,12337767.3,6985211510.160917,1661348854.2303026,1317407347.880337,1312440560.9300146,106.77842399251094,5.3022411947222565,1.2610745316574676
Nephrology,94477,6076738,16781506.0,3818141093.580249,1641656219.2198136,1272839888.35012,1276749039.330199,75.84777482724853,2.999702577304831,1.2897586210530851
Neurology,121599,6964245,43851577.4,5010162112.280429,1617661975.5304408,1236764362.3701522,1227835395.969985,28.20341788594707,4.051023998362052,1.3079791306650614
Urology,162360,12799133,45016412.6,4811295931.859881,1561240306.2399237,1185310293.8998404,1168839728.3698854,26.330625330634195,4.059102461710705,1.31715746861796
Gastroenterology,162162,8472465,16630069.5,5971753514.470016,1378517554.7001462,1078158420.6903214,1056180976.5501789,64.83186499553243,5.538846054410475,1.2785853435319008
Pathology,144083,17738538,31993133.8,5192621127.199253,1317086544.1099842,1050567427.4499221,1032649953.1198399,32.837277961495666,4.942682393840706,1.2536906339338856
Pulmonary Disease,120463,8053049,14095267.3,3427060624.9097657,1282513719.3898482,991177623.5799583,975636105.1700209,70.3198884053769,3.457564560963179,1.2939292502968696
Hospitalist,92559,6912407,12291970.0,3567434626.9104114,1243051586.8200853,976212694.1600057,963534332.1799351,79.41873386934769,3.654362054756986,1.273340937130186
Centralized Flu,76093,12884368,22494169.0,1065544982.3905449,926319972.7508868,926319972.7508868,895568064.6009868,41.18044870876923,1.1502990475593464,1.0
