rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
CA,809374,81471758,268124174.7,44266102297.319954,14353752174.24008,11525458129.840025,10749336206.093945,42.98552393768925,3.84072388261189,1.2453953684563264
FL,702877,74329690,286685832.3,33327512657.965046,11195642000.181498,8883417518.231398,8886130262.329489,30.986594094874626,3.75165442686524,1.2602854675247146
TX,671400,61977305,217132905.0,30166127765.59427,8859432943.635687,7074722445.207723,7129574506.506501,32.58245195590103,4.263930917322164,1.2522657973157507
NY,617734,51846911,163319798.7,27327555942.62822,8054833615.949975,6347961612.529716,5786070740.37977,38.86829192209699,4.304934026174421,1.268885054385207
IL,391850,36917045,145639880.8,16609675468.761646,5249699578.531236,4262582798.090401,4191467252.892167,29.267964067781637,3.8966223661866772,1.231577151036938
NJ,315594,41878323,117720261.0,16889909355.539019,4801462212.969629,3851851161.0499086,3638282208.290345,32.72037564587041,4.3848810998541525,1.2465336826932023
PA,438306,31661062,110691006.60000001,13480907591.23054,4782479979.1606655,3755632615.4606113,3759825147.9203086,33.928976985747376,3.5895171257525056,1.2734152854762435
AZ,213440,21367252,73561760.1,10605537241.225689,3901243770.308949,3106084518.5605106,3141777414.3613205,42.224173461022325,3.4144393617919766,1.2560005199462339
MD,223406,20824677,72945136.0,9751374147.589264,3457921311.8299003,2706273648.420583,2610139499.9700513,37.100124789959715,3.6032476439625,1.2777426679848096
NC,343317,35643279,86899919.1,10891805840.931545,3389697142.0497775,2692011926.2607555,2768991097.5303516,30.978301868876603,4.045972357953267,1.2591686942331333
VA,273281,22264506,73668209.4,9398300360.889013,3244655756.369615,2523700855.3999543,2500097501.1900196,34.25766522567269,3.724015205993809,1.2856736761914693
OH,346255,27066406,68484692.6,9838240732.150845,3149959903.2391357,2459569135.309175,2545187039.8205104,35.91414434280713,3.9999854409110354,1.2806958170107208
MA,277281,23511653,56705130.7,10309303301.952513,3050874105.4794188,2411854763.5590916,2307591838.5290017,42.53327227687867,4.274429562557667,1.2649493458624963
GA,279754,22084400,69409395.0,10265236114.60018,2957019145.5801344,2309150410.860156,2362059261.90043,33.26855695630478,4.445460142536315,1.2805658443352106
TN,254900,19085324,64364886.3,8303745325.720829,2576926882.4998326,2021156833.450075,2131253637.440198,31.401544376690293,4.1084121668809335,1.2749762115694254
MI,285743,17986417,51597989.6,7042479506.43874,2574001241.721177,2012782422.3112335,2037464173.4813843,39.00893112144109,3.4988776871133527,1.278827365138408
