hcpcs_cd,hcpcs_desc,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
99214,"Established patient office or other outpatient visit, 30-39 minutes",501919,57835693,99338804.1,26041642133.16035,11724828365.039768,8232146356.509938,8378480917.720022,82.86939259126775,3.163408545642141,1.4242735560414126
99213,"Established patient office or other outpatient visit, 20-29 minutes",472140,45940733,70165438.9,12560561589.760092,5901232607.449824,4123102926.05997,4142225116.060007,58.76259011129722,3.046385650567046,1.4312600760342968
J0178,"Injection, aflibercept, 1 mg",3206,373323,3427458.1,5801227043.629719,2962355355.009504,2354722371.7601805,2370100961.019719,687.0171138664483,2.463656485878307,1.2580486729716298
99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",177595,12823843,34797913.5,6857698401.71961,2707271955.559998,2143391723.9200554,2113181234.5299292,61.59540927418121,3.1994610808599866,1.2630784776049524
99233,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 50 minutes",128956,9013901,21652308.0,6617227882.319861,2557059464.4099703,2026948698.6201017,1989913844.530052,93.61351679553522,3.264625240305644,1.2615314172237093
K1034,"Provision of covid-19 test, nonprescription self-administered and self-collected use, fda approved, authorized or cleared, one test count",30143,14689045,153281273.3,2485165657.948897,1781284718.5591593,1781284718.5591593,1781287527.4097679,11.621019842866605,1.3951535271458966,1.0
66984,Removal of cataract with insertion of prosthetic lens,16383,1754813,7103624.0,8436507122.319428,1990156173.021184,1574488006.7006438,1590233536.7400827,221.64574120204614,5.358254293723213,1.264002116593811
A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",6841,2705825,3770133.2,5786103634.159392,1916359392.740795,1511990754.200294,1389214473.310235,401.04438596500887,3.8268115185795013,1.2674412111431033
99215,"Established patient office or other outpatient visit, 40-54 minutes",152028,7323217,11126975.0,4271222833.779861,1821651322.4602964,1340835499.3899844,1343838009.259996,120.50314657757247,3.185493549151303,1.3585941924188762
99204,"New patient office or other outpatient visit, 45-59 minutes",233331,11395293,11396351.0,4498523159.599981,1810272898.9401574,1280920739.6600528,1273052188.6099243,112.39744543319637,3.5119449785736605,1.4132591056497306
