rndrng_npi,rndrng_prvdr_type,rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
1629407069,Clinical Laboratory,WI,1,600418,600418.0,408884658.0,299319622.6057692,299319622.6057692,299421723.45851034,498.51873629,1.3660469515509772,1.0
1538144910,Clinical Laboratory,NC,658,10403747,16019747.0,1216395366.8313189,215119827.8503522,214615758.71034253,215374944.55080876,13.396950570464224,5.667782152349,1.0023487051605096
1184045619,Clinical Laboratory,CA,6,40699,42852.0,375773049.9996748,174528731.9797885,174477612.05979696,174765794.4000574,4071.632877340543,2.1537035357343717,1.0002929884206235
1063497451,Clinical Laboratory,NJ,645,8060243,12291480.0,911503267.8209269,143844722.4199775,143308492.18997827,143395981.83022377,11.65917303611756,6.360427451937627,1.003741789630222
1255987475,Nurse Practitioner,AZ,9,400,154796.0,173822065.35915053,169765487.31511518,135258783.8403116,135262000.8494378,873.7873319744152,1.2851074098401423,1.255116174307339
1558672279,Clinical Laboratory,CA,2,22511,36295.0,180884717.9994666,133107156.0105819,133107156.0105819,133203023.1101248,3667.3689491825844,1.3589405965903623,1.0
1740733708,Clinical Laboratory,IL,15,71099,89906.0,179490634.9997283,132945740.1991089,131996724.83913301,132068329.75992364,1468.163691401386,1.3598112772758342,1.0071896886921434
1174182760,Nurse Practitioner,AZ,8,446,133990.0,158539215.7744735,155477704.3606195,123873261.91974877,123875950.2903578,924.4963200220074,1.2798501736168297,1.2551353048355636
1689607384,Clinical Laboratory,CA,2,19883,42803.0,174969580.000301,122509311.05919239,122509311.05919239,122668903.761051,2862.166461677742,1.428214545388812,1.0
1427320399,Independent Diagnostic Testing Facility (IDTF),CA,6,148781,231997.0,1158176370.0,142445731.52016976,112165038.51025629,81749460.78026624,483.4762454266921,10.325645008307086,1.269965520558749
1932145778,Clinical Laboratory,NJ,646,6094383,9239022.0,858173835.8288034,111218897.53959726,111157093.99959831,111179195.56999259,12.031261966861678,7.720369478459959,1.0005560017608879
1699795500,Centralized Flu,CO,23,1502393,2857436.0,119329749.37061763,108949385.06036632,108949385.06036632,105562921.4703505,38.12837280007892,1.0952769426325792,1.0
1891731626,Clinical Laboratory,FL,642,5696783,8830997.0,842702009.7485044,107390588.37998438,107111072.03998101,107196651.06007314,12.128989743737996,7.867552753406779,1.00260959333783
1013973866,Clinical Laboratory,AZ,8,111794,204005.0,104980445.8787505,100717739.53953665,97409551.3894998,97855979.30101621,477.48609783828726,1.0777223011630337,1.0339616403406766
1215003603,Clinical Laboratory,CA,5,25134,26718.0,119548039.9999977,96816609.19111422,96797488.62111449,97197606.67999154,3622.9316798081627,1.2350324549011142,1.000197531674345
1710130539,Independent Diagnostic Testing Facility (IDTF),CA,4,362853,377250.0,435907949.99998426,121403868.29923144,94027526.78980903,77223298.75006613,249.2446038165912,4.6359610305865155,1.2911524150860632
1366479099,Clinical Laboratory,CA,610,4841116,7631495.0,724724150.2439308,93951763.6996324,93950085.98963232,94018368.22971548,12.31083634197917,7.713927481917434,1.000017857461038
1700860715,Podiatry,AZ,12,776,106420.0,118137346.49846981,114549409.0224802,91262648.35024484,91266896.10040082,857.5704599722311,1.294476421997816,1.2551620086989608
1063414258,Independent Diagnostic Testing Facility (IDTF),TX,9,171684,176686.0,237436875.0,107659975.4289252,84244000.44031724,63563321.47952368,476.80065449620935,2.8184425449763917,1.2779542147360041
1407855240,Ambulance Service Provider,AL,9,26624,1028589.8,1033701267.9202459,102244429.89982495,81389574.15995432,78547675.08008866,79.12733935331103,12.700659495879908,1.2562349779455133
1720688054,Clinical Laboratory,MA,4,29397,31432.0,136271799.99998164,79887601.7691595,79745434.84916441,79948949.40931089,2537.0779730581703,1.708835123386496,1.00178275935499
1952519696,Centralized Flu,ID,17,1019738,1876344.0,97711542.54915564,76070032.96041207,76070032.96041207,72989254.48062266,40.54162400946312,1.284494547281268,1.0
1770833121,Clinical Laboratory,CA,3,36644,36976.0,103747718.08,75964556.58952886,75006711.30943507,74679669.82084548,2028.5242132581964,1.3831791351575977,1.012770127677539
1316206220,Clinical Laboratory,CA,8,47073,47330.0,84931384.1400056,71412436.67043494,71412436.67043494,71415515.3817344,1508.8197056926883,1.189308026723132,1.0
1770734253,Clinical Laboratory,AZ,9,11493,11597.0,89197494.0,70923758.8600232,70923758.8600232,70930879.5400052,6115.698789344072,1.2576532241620508,1.0
1134277494,Clinical Laboratory,NJ,579,2028990,3444470.0,287844589.41987723,69596037.93985617,66781261.59998102,65612667.760166824,19.387964360258913,4.310259832227534,1.0421491938372718
